,lable,timesubmit,idemail,username,note,timeuse,address,Body,maintenance
72,account|rent|payment received|other,1704182624.7900293,tony9,tony,,115,8 River Road West|Parramatta|NSW|2150,"Hi Masoud Abdolrazagh,

Thank you for your payment.

We can confirm your $1,240.00 was received on 08/11/2023.

Rent is now paid up to 17/11/2023 with a remainder of $550.00 toward next Weekly period.

What you need to do:

*	At this stage, $0.00 rent is outstanding and payment required.

*	Please note – your next Weekly rental payment $620.00 should be submitted 2-3 business days earlier than 17/11/2023.
*	Then please ensure payment scheduled regularly thereafter.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image31155e8667ee432dbefd4662a3cc2a59>

",account
73,account|rent|payment received|other,1704182677.7118192,tony12,tony,,33,6 River Road West|Parramatta|NSW|2150,"Hi Charles Oduro,

Thank you for your payment.

We can confirm your $590.00 was received on 08/11/2023.

Rent is now paid up to 10/11/2023 with a remainder of $0.00 toward next Weekly period.

What you need to do:

*	At this stage, $0.00 rent is outstanding and payment required.

*	Please note – your next Weekly rental payment $590.00 should be submitted 2-3 business days earlier than 10/11/2023.
*	Then please ensure payment scheduled regularly thereafter.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image161a35d782b1468f9badd780c9e20abe>

",account
74,account|rent|payment received|other,1704182712.2341285,tony13,tony,,34,1-7 Thallon St|Carlingford|NSW|2150,"Hi Yong Beom Jeon,

Thank you for your payment.

We can confirm your $610.00 was received on 08/11/2023.

Rent is now paid up to 02/11/2023 with a remainder of $0.00 toward next Weekly period.

What you need to do:

*	At this stage, $610.00 rent is outstanding and payment required.

*	Please note – your next Weekly rental payment $610.00 should be submitted 2-3 business days earlier than 02/11/2023.
*	Then please ensure payment scheduled regularly thereafter.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-imagea47fba328c8c490d9e0cf646134b3463>

",account
75,account|rent|payment received|other,1704182733.1629846,tony14,tony,,20,2 River Road West|Parramatta|NSW|2150,"Hi Sai Teja Pamula & Bhagavanthu Gudigandla,

Thank you for your payment.

We can confirm your $325.00 was received on 08/11/2023.

Rent is now paid up to 04/11/2023 with a remainder of $325.00 toward next Weekly period.

What you need to do:

*	At this stage, $325.00 rent is outstanding and payment required.

*	Please note – your next Weekly rental payment $650.00 should be submitted 2-3 business days earlier than 04/11/2023.
*	Then please ensure payment scheduled regularly thereafter.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-imagec5491e68dcb043f4b4fb42464d28fa17>

",account
76,leasing|open inspection|schedule|other,1704182788.0130017,tony17,tony,,45,26 Levey Street|Wolli Creek|NSW|2205,"Dear Kerime Sula & Hasan Sula,
Open Inspection for Lot 58, Unit 805, 26 Levey Street, , Wolli Creek NSW 2205 - 16008
Due to your recently vacating from the above mentioned property, we have scheduled following open inspection time slots for the week:

1.      Saturday,           11-11-2023,           10:20 AM ~ 10:35 AM 2.      Tuesday,           14-11-2023,           02:35 PM ~ 02:50 PM 
The inspections will be conducted by the PIA professional leasing team. 

In case you are not home, we do have an office key which may be used. We will ensure that prior to leaving the property, doors will be locked and lights are off. Please note that we will definitely treat the property with great care. 

We appreciate your time of 15-30 minutes of each inspection to secure a new tenant. We will not bother you so much as soon as we have located a new tenant for the property. 

Please be ensured we won't bother you/enter the property if no potential tenants come for the inspection. 

Shall we not hear from you, we consider you’ve agreed with the above time frames of inspection. 

Your kind cooperation in advance is valuable and we do hope to pass this reference to your new landlord if required. 

If you ever have any further enquires. Please do not hesitate to contact your property manager or
email at infopmd@pia.com.au / infoleasing@pia.com.au.


Thank you and stay safe.
",leasing
77,portfolia management|rental review|follow up|other,1704182850.9519465,tony18,tony,,62,"1-7 Thallon St, Carlingford|Carlingford|NSW|2150","Dear Edward,


Hope you and your family are very well.


Further to our rental review last week on 31 Oct., 2023, 4:43 p.m., we’ve not received your feedback.

Kindly let us know your instruction to proceed as per recommendation from the last week's email.



Absent any written instruction, we'll not take any action in case it may jeopardise any of your alternative plans and we'll schedule another review in the next 6 months.



Just for a friendly note, any rental increase can only be in effect given the legal minimum required notice period of 60 days + 7 days postage and no earlier than the end of the fixed term tenancy agreement.

If you’ve any further concerns or enquiries, please don’t hesitate to contact us. 




Hope this information assists and looking forward to hearing from you.

Yours sincerely,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image9539ea96774346278e9173480e52f124>




",portfolia management
78,account|rent|arrears|other,1704183013.1733055,tony28,tony,,29,2 River Road West|Parramatta|NSW|2150,"Hi Elayne Cassandra Tukuafu & Phillip Sam Benjamin Leuluai,

Please note, your rent is currently 3 day(s) in arrears; paid up to 06/11/2023 and $0.00 credit for the next period from 07/11/2023.

The last payment we've received was $900.00 on 03/11/2023. For your reference, attached is your complete tenancy ledger.

If you’ve submitted any rental payments from 03/11/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.

Otherwise, please submit the required payment of $900.00 to have your account reconciled and rent paid up for the corresponding period.

Rental payments are required to be processed 3 days prior to the due date as it can take up to 3 days for any electronic payment to be cleared and received.

Please note – your Weekly rental payment $900.00 should be submitted no later than Friday per week / fortnight.


Once the payment for the above is processed and to avoid this issue in future - ensure your next rental payment is submitted no later than Friday 10/11/2023, then scheduled regularly thereafter.

Kindly note - rental arrears reminders will reflect on your permanent rental history.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-imagefac839986b3740e6b2f532bc7ec7bb8a>

",account
79,account|rent|arrears|other,1704183058.0211635,tony29,tony,,44,1 Meryll Avenue|Baulkham Hills|NSW|2153,"Hi Yuet Lee,

Please note, your rent is currently 1 day(s) in arrears; paid up to 08/11/2023 and $0.00 credit for the next period from 09/11/2023.

The last payment we've received was $570.00 on 02/11/2023. For your reference, attached is your complete tenancy ledger.

If you’ve submitted any rental payments from 02/11/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.

Otherwise, please submit the required payment of $570.00 to have your account reconciled and rent paid up for the corresponding period.

Rental payments are required to be processed 3 days prior to the due date as it can take up to 3 days for any electronic payment to be cleared and received.

Please note – your Weekly rental payment $570.00 should be submitted no later than Monday per week / fortnight.


Once the payment for the above is processed and to avoid this issue in future - ensure your next rental payment is submitted no later than Monday 13/11/2023, then scheduled regularly thereafter.

Kindly note - rental arrears reminders will reflect on your permanent rental history.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image11377310320947dca14ab73218e994aa>

",account
80,account|rent|arrears|other,1704183083.1510808,tony30,tony,,25,6 River Road|Parramatta|NSW|2150,"Hi Vasantkumar Patel,

Please note, your rent is currently 1 day(s) in arrears; paid up to 08/11/2023 and $0.00 credit for the next period from 09/11/2023.

The last payment we've received was $1,320.00 on 03/11/2023. For your reference, attached is your complete tenancy ledger.

If you’ve submitted any rental payments from 03/11/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.

Otherwise, please submit the required payment of $660.00 to have your account reconciled and rent paid up for the corresponding period.

Rental payments are required to be processed 3 days prior to the due date as it can take up to 3 days for any electronic payment to be cleared and received.

Please note – your Weekly rental payment $660.00 should be submitted no later than Monday per week / fortnight.


Once the payment for the above is processed and to avoid this issue in future - ensure your next rental payment is submitted no later than Monday 13/11/2023, then scheduled regularly thereafter.

Kindly note - rental arrears reminders will reflect on your permanent rental history.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image359b7aa4c31f41d79552a232bce16581>

",account
81,account|rent|arrears|other,1704183109.3379428,tony31,tony,,26,6 River Road West|Parramatta|NSW|2150,"Hi Sheetal Suralal,

Please note, your rent is currently 2 day(s) in arrears; paid up to 07/11/2023 and $0.00 credit for the next period from 08/11/2023.

The last payment we've received was $700.00 on 06/11/2023. For your reference, attached is your complete tenancy ledger.

If you’ve submitted any rental payments from 06/11/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.

Otherwise, please submit the required payment of $700.00 to have your account reconciled and rent paid up for the corresponding period.

Rental payments are required to be processed 3 days prior to the due date as it can take up to 3 days for any electronic payment to be cleared and received.

Please note – your Weekly rental payment $700.00 should be submitted no later than Sunday per week / fortnight.


Once the payment for the above is processed and to avoid this issue in future - ensure your next rental payment is submitted no later than Sunday 12/11/2023, then scheduled regularly thereafter.

Kindly note - rental arrears reminders will reflect on your permanent rental history.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image8c28f252bc1f42a49125d25b72ac4a79>

",account
292,other|other|other|other,1704771583.3338962,tony1,tony,,24,other|other|other|other,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/wiv-qujs-oeo
Or dial: (AU) +61 2 9051 6027 PIN: 809760047#
More phone numbers: https://tel.meet/wiv-qujs-oeo?pin=2219771242632&hs=7

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-",other
347,other|other|other|other,1704878635.8593125,tony0,tony,,10,other|other|other|other,"﻿ 
Dear Google Workspace Sync user,

Thanks for installing Google Workspace Sync for Microsoft Outlook®. This software will synchronize your calendar, contacts, email, notes, tasks and domain's global address list with Google Workspace. Before you get started, there are a few things you should know about the current version of Google Workspace:

*	Your journal entries will not synchronize with Google Workspace.
*	Google Workspace Sync will initially download up to 1GB of email from the Google Workspace Server to your desktop. You can change this setting from the system tray menu. (learn more<https://support.google.com/a/users/answer/156540>). 
*	Your initial sync can take a long time, because there's a lot of email to download. To see your synchronization status, look at synchronization status in your system tray. 
*	We strongly recommend that you create an exclude rule in your antivirus software so that it does not scan any files located under %LOCALAPPDATA%\Google\Google Apps Sync.

For more information, go here:

*	Google Workspace Sync User Manual<https://support.google.com/a/users/topic/23333>
*	What's different and won't sync between Microsoft Outlook® and Google Workspace<https://support.google.com/a/users/answer/6209363>
*	Read the Frequently Asked Questions<https://support.google.com/a/users/answer/153869>
*	Tools for administrators deploying Google Workspace Sync<https://support.google.com/a/answer/148484>
*	How to get help<https://support.google.com/a/users/answer/171710>

Thanks for using Google Workspace Sync,

The Google Workspace Sync Team

",other
348,other|other|other|other,1704878643.9475632,tony3,tony,,7,other|other|other|other,"﻿ 

Dear Google Workspace Sync for Microsoft Outlook® user, 

You have just saved a calendar event with HTML formatting not fully compatible with Google Calendar, or exceeded the maximum Google Calendar event description length allowed.

Don't worry! Google Workspace Sync discarded the formatting and used a plain text description instead.

You can prevent this from happening again by saving your Outlook calendar events in Rich Text Format. Learn more<https://support.google.com/a/users/answer/156468#html>.

See more tips about using Outlook calendar in Best practices in Outlook Calendar<https://support.google.com/a/users/answer/156468>. 

Sincerely, 

The Google Workspace Sync Team 



",other
